A.1.;IS and Business Strategy Alignment;Informatique et alignement stratégique métier  
A.2.;Service Level Management;Gestion des niveaux de service  
A.3.;Business Plan Development;Développement du plan d’activités 
A.4.;Product or Project Planning;Planification des produits ou des projets
A.5.;Architecture Design;Conception de l’architecture 
A.6.;Application Design;Conception des applications 
A.7.;Technology Watching;Veille technologique 
A.8.;Sustainable Development;Développement durable
B.1.;Design and Development;Conception et développement 
B.2.;Systems Integration; Intégration des systèmes 
B.3.;Testing;Tests 
B.4.;Solution Deployment;Déploiement de la solution 
B.5.;Documentation Production;Production de la documentation 
C.1.;User Support;Support utilisateur  
C.2.;Change Support;Support des changements  
C.3.;Service Delivery;Livraison de Services 
C.4.;Problem Management;Gestion des problèmes 
D.1.;Information Security Strategy Development;Développement de la stratégie pour la sécurité de l’information 
D.2.;ICT Quality Strategy Development;Développement de la stratégie pour la qualité informatique  
D.3.;Education and Training Provision;Prestation de services de formation  
D.4.;Purchasing;Achats
D.5.;Sales Proposal Development;Développement des propositions 
D.6.;Channel Management;Gestion des canaux de vente 
D.7.;Sales Management;Gestion des ventes  
D.8.;Contract Management;Gestion des contrats 
D.9.;Personnel Development;Développement du personnel 
D.10.;Information and Knowledge Management;Gestion de l’information de la connaissance 
E.1.;Forecast Development;Développement prévisionnel 
E.2.;Project and Portfolio Management;Gestion de projets et du portefeuille de projets 
E.3.;Risk Management;Gestion des risques
E.4.;Relationship Management;Gestion de la relation client 
E.5.;Process Improvement;Amélioration des processus 
E.6.;ICT Quality Management;Gestion de la qualité informatique 
E.7.;Business Change Management;Gestion des changements métier 
E.8.;Information Security Management; Gestion de la sécurité de l’information 
E.9.;IT Governance; Gouvernance informatique 
